mask1,mask2,intersection,mask1_size,mask2_size,mask2_size_at_mask1_z,iou,iou_at_mask1_z,containment_2p,containment_hcr_at_z,is_best_match,somaprint_hcr_label,somaprint_best_score,somaprint_second_score,somaprint_confident
23,17077,22,1052,3438,1958,0.004923903312444,0.0073627844712182,0.0209125475285171,0.0112359550561797,False,17087,16.001807646951764,5.430607889342822,True
24,18447,226,281,2566,331,0.0862266310568485,0.5854922279792746,0.8042704626334519,0.6827794561933535,True,18447,18.32604418765644,4.3344081885834616,True
24,19011,18,281,2560,443,0.0063761955366631,0.0254957507082152,0.0640569395017793,0.0406320541760722,False,18447,18.32604418765644,4.3344081885834616,True
24,19024,11,281,3432,501,0.0029713668287412,0.0142671854734111,0.0391459074733096,0.0219560878243512,False,18447,18.32604418765644,4.3344081885834616,True
25,20867,87,116,1812,536,0.0472569255839217,0.1539823008849557,0.75,0.1623134328358209,True,20867,8.234915525713912,5.513536030891586,False
26,17152,64,356,2470,1357,0.0231716147719044,0.0388114008489993,0.1797752808988764,0.0471628592483419,True,16461,7.376956741915081,4.589123557676531,False
27,16457,96,505,6952,1117,0.0130417062899062,0.0629095674967234,0.1900990099009901,0.0859444941808415,True,19473,6.332922362869259,4.27455192949163,False
27,19004,72,505,3640,860,0.0176773876749324,0.0556844547563805,0.1425742574257425,0.0837209302325581,False,19473,6.332922362869259,4.27455192949163,False
27,14221,12,505,8651,1103,0.0013123359580052,0.0075187969924812,0.0237623762376237,0.0108794197642792,False,19473,6.332922362869259,4.27455192949163,False
27,18992,5,505,2909,1184,0.0014667057788207,0.0029691211401425,0.0099009900990099,0.0042229729729729,False,19473,6.332922362869259,4.27455192949163,False
28,18429,164,352,4879,1856,0.0323662916913361,0.0802348336594911,0.4659090909090909,0.0883620689655172,True,18429,13.569696025748064,6.324772206268077,True
28,18438,111,352,2587,1864,0.0392503536067892,0.0527315914489311,0.3153409090909091,0.0595493562231759,False,18429,13.569696025748064,6.324772206268077,True
28,9256,52,352,10056,1414,0.0050212437234453,0.0303383897316219,0.1477272727272727,0.0367751060820367,False,18429,13.569696025748064,6.324772206268077,True
28,11569,4,352,8660,1763,0.0004440497335701,0.0018948365703458,0.0113636363636363,0.0022688598979013,False,18429,13.569696025748064,6.324772206268077,True
29,9256,209,554,10056,1437,0.020094221709451,0.1172839506172839,0.3772563176895306,0.1454418928322895,True,9256,7.2704503325533425,5.8225354171823485,False
29,17782,154,554,1578,1155,0.0778564206268958,0.0990353697749196,0.2779783393501805,0.1333333333333333,False,9256,7.2704503325533425,5.8225354171823485,False
29,14221,4,554,8651,1715,0.0004347353548527,0.001766004415011,0.0072202166064981,0.0023323615160349,False,9256,7.2704503325533425,5.8225354171823485,False
30,18503,505,865,2688,1991,0.1656824146981627,0.2148022118247554,0.5838150289017341,0.2536413862380713,True,18503,18.820662813169612,4.357206069894559,True
30,16517,18,865,2303,999,0.0057142857142857,0.0097508125677139,0.0208092485549132,0.018018018018018,False,18503,18.820662813169612,4.357206069894559,True
30,17223,1,865,5925,1789,0.0001472970982471,0.0003769317753486,0.0011560693641618,0.0005589714924538,False,18503,18.820662813169612,4.357206069894559,True
31,19548,45,383,2471,434,0.0160199359202563,0.0582901554404145,0.1174934725848564,0.1036866359447004,True,15872,10.299828733223487,4.233741897700321,True
32,15820,162,344,1677,796,0.087143625605164,0.1656441717791411,0.4709302325581395,0.2035175879396984,True,17126,8.950611797375476,8.144100404943714,False
32,17126,174,344,5722,977,0.0295315682281059,0.1517000871839581,0.5058139534883721,0.1780962128966223,False,17126,8.950611797375476,8.144100404943714,False
32,15813,8,344,1613,788,0.0041046690610569,0.0071174377224199,0.0232558139534883,0.0101522842639593,False,17126,8.950611797375476,8.144100404943714,False
33,11569,135,307,8660,1114,0.0152853260869565,0.1049766718506998,0.4397394136807817,0.1211849192100538,True,11569,19.418488243380235,7.2621156384903705,True
33,18429,37,307,4879,1499,0.0071858613322975,0.0209157716223855,0.1205211726384364,0.0246831220813875,False,11569,19.418488243380235,7.2621156384903705,True
33,19481,36,307,2444,1658,0.0132596685082872,0.0186625194401244,0.1172638436482084,0.0217129071170084,False,11569,19.418488243380235,7.2621156384903705,True
33,18438,1,307,2587,1464,0.0003456619426201,0.0005649717514124,0.003257328990228,0.0006830601092896,False,11569,19.418488243380235,7.2621156384903705,True
34,17224,326,898,1636,417,0.1476449275362318,0.3296258847320525,0.3630289532293986,0.7817745803357314,True,17224,11.56332118030787,9.371291877654134,True
34,11622,28,898,6585,981,0.0037558685446009,0.0151269584008643,0.0311804008908685,0.0285423037716615,False,17224,11.56332118030787,9.371291877654134,True
34,20627,6,898,2393,427,0.0018264840182648,0.0045489006823351,0.0066815144766146,0.0140515222482435,False,17224,11.56332118030787,9.371291877654134,True
35,17858,219,784,2492,1644,0.071638861629048,0.0991398822996831,0.2793367346938775,0.1332116788321168,True,17227,16.360109437001583,5.508857695842463,True
35,20630,5,784,2974,518,0.0013322675193178,0.0038550501156515,0.0063775510204081,0.0096525096525096,False,17227,16.360109437001583,5.508857695842463,True
35,20629,3,784,1028,455,0.0016583747927031,0.0024271844660194,0.0038265306122448,0.0065934065934065,False,17227,16.360109437001583,5.508857695842463,True
36,15790,157,160,5588,986,0.0280808442139152,0.1587462082912032,0.98125,0.1592292089249493,True,15790,13.43893431745785,5.862033742602535,True
36,17077,3,160,3438,840,0.0008344923504867,0.0030090270812437,0.01875,0.0035714285714285,False,15790,13.43893431745785,5.862033742602535,True
37,18992,418,577,2909,1184,0.136245110821382,0.3112434847356664,0.7244367417677643,0.3530405405405405,True,18992,15.477011181703855,5.955840876592551,True
37,18983,55,577,2909,643,0.0160303118624307,0.0472103004291845,0.095320623916811,0.0855365474339035,False,18992,15.477011181703855,5.955840876592551,True
37,17125,71,577,2253,1298,0.0257339615802827,0.0393569844789357,0.1230502599653379,0.0546995377503852,False,18992,15.477011181703855,5.955840876592551,True
37,17782,33,577,1578,1155,0.0155513666352497,0.0194231901118304,0.0571923743500866,0.0285714285714285,False,18992,15.477011181703855,5.955840876592551,True
38,17210,488,742,6239,1568,0.0751578623132604,0.2678375411635565,0.6576819407008087,0.3112244897959184,True,17210,15.286067019646687,3.712253965859803,True
38,20455,84,742,3532,1597,0.0200477326968973,0.037250554323725,0.1132075471698113,0.0525986224170319,False,17210,15.286067019646687,3.712253965859803,True
39,15285,211,630,3798,1509,0.0500355703106473,0.1094398340248962,0.3349206349206349,0.1398277004638833,False,15291,12.15671218729075,7.4485541758125615,True
39,16434,121,630,1351,787,0.0650537634408602,0.0933641975308642,0.192063492063492,0.1537484116899618,True,15291,12.15671218729075,7.4485541758125615,True
39,15291,111,630,3354,861,0.0286599535243996,0.0804347826086956,0.1761904761904762,0.1289198606271777,False,15291,12.15671218729075,7.4485541758125615,True
39,18963,14,630,3105,500,0.0037624294544477,0.0125448028673835,0.0222222222222222,0.028,False,15291,12.15671218729075,7.4485541758125615,True
39,16435,1,630,1897,1061,0.0003958828186856,0.0005917159763313,0.0015873015873015,0.000942507068803,False,15291,12.15671218729075,7.4485541758125615,True
40,17101,236,487,5651,1121,0.0399864452727888,0.1720116618075801,0.4845995893223819,0.2105263157894736,True,17101,8.056143999743725,5.628711029906216,False
40,17099,6,487,2554,1012,0.0019769357495881,0.0040187541862022,0.0123203285420944,0.0059288537549407,False,17101,8.056143999743725,5.628711029906216,False
41,17117,418,941,3108,1084,0.1151198017075186,0.2601120099564405,0.4442082890541977,0.3856088560885609,True,17117,12.792501198902064,5.176958845360744,True
41,18983,137,941,2909,643,0.0368973875572313,0.0946786454733932,0.1455897980871413,0.2130637636080871,False,17117,12.792501198902064,5.176958845360744,True
41,18977,175,941,4111,1281,0.0358827147836784,0.0854909623839765,0.1859723698193411,0.1366120218579235,False,17117,12.792501198902064,5.176958845360744,True
41,18992,14,941,2909,1184,0.0036496350364963,0.0066319279962103,0.0148777895855472,0.0118243243243243,False,17117,12.792501198902064,5.176958845360744,True
42,19481,171,423,2444,1091,0.063427299703264,0.1273268801191362,0.4042553191489361,0.1567369385884509,True,19481,6.567564018123139,4.963161952785304,False
42,18429,9,423,4879,1099,0.0017003589646703,0.0059484467944481,0.0212765957446808,0.008189262966333,False,19481,6.567564018123139,4.963161952785304,False
43,19521,311,517,2527,854,0.1137943651664837,0.2933962264150943,0.6015473887814313,0.3641686182669789,True,19521,13.546388052029974,4.817245373882746,True
43,19872,131,517,2531,1169,0.0449091532396297,0.0842443729903537,0.253384912959381,0.1120615911035072,False,19521,13.546388052029974,4.817245373882746,True
43,20175,31,517,2103,1054,0.0119737350328312,0.0201298701298701,0.0599613152804642,0.0294117647058823,False,19521,13.546388052029974,4.817245373882746,True
43,20610,8,517,3134,1240,0.0021959923140269,0.0045740423098913,0.0154738878143133,0.0064516129032258,False,19521,13.546388052029974,4.817245373882746,True
44,19532,219,774,2461,2461,0.0726127320954907,0.0726127320954907,0.2829457364341085,0.0889882161722876,True,19056,7.048148552374769,6.519865258508566,False
44,19056,52,774,2115,1633,0.0183292210081071,0.0220806794055201,0.0671834625322997,0.031843233312921,False,19056,7.048148552374769,6.519865258508566,False
44,20627,10,774,2393,852,0.0031675641431738,0.0061881188118811,0.0129198966408268,0.0117370892018779,False,19056,7.048148552374769,6.519865258508566,False
44,20450,9,774,2417,1160,0.0028284098051539,0.0046753246753246,0.0116279069767441,0.0077586206896551,False,19056,7.048148552374769,6.519865258508566,False
45,18362,0,22,4084,0,0.0,0.0,0.0,0.0,False,18362,5.805055042573212,2.921727563694868,False
46,15779,274,332,2363,1502,0.1131763733994217,0.1756410256410256,0.8253012048192772,0.1824234354194407,True,15779,16.41469578154346,4.354413767941785,True
46,17077,10,332,3438,840,0.0026595744680851,0.0086058519793459,0.0301204819277108,0.0119047619047619,False,15779,16.41469578154346,4.354413767941785,True
46,17057,3,332,1900,651,0.0013458950201884,0.0030612244897959,0.0090361445783132,0.0046082949308755,False,15779,16.41469578154346,4.354413767941785,True
47,18405,38,429,4263,1105,0.0081650193382036,0.0254010695187165,0.0885780885780885,0.0343891402714932,True,18405,4.5151829741444685,4.254428561782444,False
48,17125,38,648,2253,480,0.0132727907789032,0.0348623853211009,0.0586419753086419,0.0791666666666666,False,15311,9.651516611233868,4.121000690028248,False
49,20610,383,635,3134,809,0.1131128174837566,0.3609802073515551,0.6031496062992125,0.4734239802224969,True,20610,15.274040437507889,7.113138918310773,True
49,20607,41,635,2319,637,0.0140748369378647,0.033306255077173,0.0645669291338582,0.06436420722135,False,20610,15.274040437507889,7.113138918310773,True
49,19856,5,635,3278,1119,0.001279426816786,0.0028587764436821,0.0078740157480314,0.0044682752457551,False,20610,15.274040437507889,7.113138918310773,True
49,20175,1,635,2103,699,0.000365363536719,0.0007501875468867,0.0015748031496062,0.0014306151645207,False,20610,15.274040437507889,7.113138918310773,True
50,15779,126,556,2363,867,0.0451127819548872,0.0971472629144178,0.2266187050359712,0.1453287197231834,False,15279,10.510668054109232,7.069404937248415,True
50,18368,158,556,3411,1931,0.0414807035967445,0.0678402747960498,0.2841726618705036,0.0818228896944588,True,15279,10.510668054109232,7.069404937248415,True
50,19785,53,556,1164,555,0.0317936412717456,0.0500945179584121,0.0953237410071942,0.0954954954954954,False,15279,10.510668054109232,7.069404937248415,True
50,15279,43,556,3110,1066,0.0118686171680927,0.0272324255858138,0.0773381294964028,0.0403377110694183,False,15279,10.510668054109232,7.069404937248415,True
51,18482,158,891,2812,1087,0.0445698166431593,0.0868131868131868,0.1773288439955106,0.1453541858325667,True,18482,7.1351869902185365,4.059529115842548,False
51,20183,21,891,2606,1699,0.0060414269275028,0.0081743869209809,0.0235690235690235,0.0123602118893466,False,18482,7.1351869902185365,4.059529115842548,False
51,19866,23,891,4233,2589,0.0045089198196432,0.0066531674862597,0.0258136924803591,0.0088837388953263,False,18482,7.1351869902185365,4.059529115842548,False
52,16517,287,559,2303,1440,0.1114563106796116,0.1676401869158878,0.5134168157423972,0.1993055555555555,True,16517,10.327511264158785,4.593285292454988,True
52,18474,5,559,1374,1374,0.0025933609958506,0.0025933609958506,0.0089445438282647,0.0036390101892285,False,16517,10.327511264158785,4.593285292454988,True
52,19056,1,559,2115,1378,0.0003741114852225,0.0005165289256198,0.0017889087656529,0.0007256894049346,False,16517,10.327511264158785,4.593285292454988,True
53,20627,172,722,2393,1246,0.0584437648657832,0.0957683741648107,0.2382271468144044,0.1380417335473515,True,20627,9.642403089559156,6.013493232679488,True
53,19531,117,722,4625,3337,0.0223709369024856,0.0296803652968036,0.1620498614958448,0.0350614324243332,False,20627,9.642403089559156,6.013493232679488,True
53,11622,9,722,6585,981,0.0012332145793368,0.0053128689492325,0.0124653739612188,0.0091743119266055,False,20627,9.642403089559156,6.013493232679488,True
