mouse,region,plane,stage,cells,tile,theta_tile_med,theta_tile_p99,theta_local_med,aniso_p99,iou_field_dense,iou_cell_dense,match_dense,offset_dense,partners_dense,area_p99_dense,torn_dense,iou_field_rigid,iou_cell_rigid,match_rigid,offset_rigid,partners_rigid,area_p99_rigid,torn_rigid,iou_field_body,iou_cell_body,match_body,offset_body,partners_body,area_p99_body,torn_body,flip_dense_rigid,flip_dense_body,flip_rigid_body
CIM132,PBN,2,tile_100,692,100,0.4571764568127331,1.8402027394817804,0.9906417702287585,1.0977463754817527,0.21836260985028938,0.24788302363857548,42.34104046242775,5.331038425191151,1.3395953757225434,1.209377990430622,3.0346820809248554,0.21832144075266022,0.25121499516361145,42.48554913294797,5.448190649375643,1.3352601156069364,1.0,2.312138728323699,0.21830098906924836,0.2505868544600939,42.48554913294797,5.4145739588284885,1.333815028901734,1.0043128192181463,2.4566473988439306,1.303538175046555,1.3059701492537312,0.0
CIM132,PBN,3,tile_100,656,100,0.6152225487806077,2.6854013856467605,1.4397865298786734,1.1213331563591855,0.22196525418072818,0.24307769135959878,42.68292682926829,5.963694600421201,1.4847560975609757,1.2957772450673062,3.353658536585366,0.22064712968553568,0.24281585466556566,41.920731707317074,6.05139111821419,1.4801829268292683,1.0,2.2865853658536586,0.22068728141434943,0.2442263618734207,41.920731707317074,6.094538629731378,1.4878048780487805,1.0048685596629,2.591463414634146,1.9342359767891684,1.9342359767891684,0.0
CIM151,PBN,0,tile_100,303,100,0.6329622537444363,2.173068348417247,1.1087343861454984,1.069642474261266,0.23873977811825078,0.40896358543417366,61.386138613861384,3.872487405605405,1.4653465346534653,1.4309751966122204,9.24092409240924,0.23982294328999518,0.40399002493765584,62.04620462046204,3.8785427626885474,1.4323432343234324,1.0,5.2805280528052805,0.23986126675125258,0.40399002493765584,62.37623762376238,3.8714543383869917,1.438943894389439,1.0031155503978781,6.6006600660066,0.38461538461538464,0.0,0.38314176245210724
CIM151,PBN,1,tile_100,389,100,0.4450934022148406,1.073823659303204,0.7876207605726424,1.0496380313589522,0.31915583322106966,0.4742268041237113,66.83804627249359,3.3117268818507712,1.4832904884318765,1.1158974358974358,7.197943444730077,0.31904967675081075,0.46981627296587924,67.09511568123393,3.4359368920183293,1.4730077120822622,1.0,6.940874035989718,0.31891012197372615,0.46748681898066785,66.83804627249359,3.351804514128936,1.467866323907455,1.0023122481163484,7.197943444730077,0.6097560975609756,0.6097560975609756,0.0
CIM151,PBN,2,tile_100,329,100,0.6552552596309582,1.8716827396556792,0.5952502129916362,1.0810442494193748,0.232174603421704,0.45365853658536587,70.2127659574468,3.968192019966729,1.6930091185410334,1.1143932753623187,6.990881458966565,0.2320162202061162,0.45220030349013657,70.2127659574468,3.9747189582575593,1.6899696048632218,1.0,5.167173252279635,0.2320271511528342,0.4609494640122512,70.2127659574468,3.974726129677488,1.6899696048632218,1.0035573440643863,5.775075987841945,0.3472222222222222,0.3472222222222222,0.0
CIM151,PBN,3,tile_100,274,100,0.7763632837692254,1.8816925093958903,0.7544121960072248,1.08168606996072,0.2258275359749123,0.4775026983270373,69.7080291970803,3.6289496984403895,1.5693430656934306,1.1334414642569353,5.839416058394161,0.22424196055656215,0.48249463799722436,70.43795620437956,3.6474067801832355,1.5437956204379562,1.0,4.014598540145985,0.22428616144402322,0.48187175853380115,70.43795620437956,3.6344889939546827,1.5474452554744527,1.0034318501406188,5.474452554744526,0.7874015748031495,0.7874015748031495,0.0
JS080,cortex,0,tile_100,1879,100,0.4427290949716518,1.4634450078050754,0.756504210542458,1.0936991535957066,0.31700451413446223,0.41694915254237286,61.57530601383715,4.228368462954179,1.5364555614688664,1.2494898111597141,6.865353911655135,0.3144462403144848,0.4116331096196868,61.52208621607238,4.255901373294399,1.5114422565194252,1.0,5.321979776476849,0.31462516319101114,0.41237113402061853,61.52208621607238,4.2642895236004446,1.5156998403406068,1.0035083333333334,5.5880787653006925,0.9025270758122743,0.8428657435279951,0.1798561151079137
JS080,cortex,1,tile_100,2101,100,0.5200436024124618,2.3793711940589866,0.7432620930567999,1.1610278177998354,0.3830338524157503,0.49264705882352944,69.20514040932889,2.95849313776546,1.382198952879581,1.3020527859237536,6.1875297477391715,0.3810942845668563,0.490625,69.15754402665397,2.9749305187724517,1.358876725368872,1.0,4.426463588767254,0.3810809217054642,0.4906832298136646,69.20514040932889,2.979288808284953,1.356020942408377,1.003787878787879,4.75963826749167,0.4454342984409799,0.33444816053511706,0.11117287381878821
JS080,cortex,2,tile_100,2268,100,0.7500548487759581,3.2686980910866894,1.5865329035989049,1.1471094635709702,0.28710796184457277,0.1754774103400093,25.573192239858905,9.37511636309084,1.8306878306878307,1.558151625804206,9.788359788359788,0.2795504179531591,0.17453974358974358,27.204585537918874,9.337410170836954,1.7817460317460319,1.0,5.114638447971781,0.27961225554156005,0.17430217755443886,27.028218694885364,9.35941716890502,1.784832451499118,1.0035971223021583,5.64373897707231,4.4469783352337515,3.990877993158495,0.8488964346349746
JS082,cortex,0,tile_100,2913,100,0.33255803196338557,1.4226533483648294,0.674195983307756,1.0768089857081533,0.31012714428625765,0.2866004962779156,47.64847236525918,6.345454364335204,1.6676965327840714,1.157483047797456,16.306213525575007,0.3091527611227414,0.2846580406654344,47.579814624098866,6.409830926802172,1.6735324407826981,1.0,12.976313079299691,0.30925073150305965,0.28450106157112526,47.64847236525918,6.407519720088873,1.6749055956059045,1.0018354329027437,13.697219361483008,1.2910798122065728,1.2519561815336464,0.19455252918287938
JS082,cortex,1,tile_100,3481,100,0.33169312134849027,1.5600552285311502,0.6480052568672251,1.0979690584739494,0.36228147611356537,0.33610648918469216,55.616202240735426,5.160219294956461,1.6170640620511347,1.1523206847101135,14.823326630278654,0.3618674048296445,0.3384615384615385,55.70238437230681,5.142420737576616,1.6101694915254237,1.0,12.295317437517955,0.36181432366866295,0.33856893542757416,55.64492961792589,5.160503076087499,1.614478598103993,1.0020177615254016,12.869864981327206,0.9953550099535502,0.8955223880597015,0.09937065253395165
JS082,cortex,2,tile_100,3467,100,0.3624252029616781,1.7113867107786023,0.624790000353652,1.1157577304001391,0.36869724609865084,0.33695652173913043,54.86010960484569,5.224709292850721,1.608306893567926,1.1855851119208751,16.46957023363138,0.3682926570570953,0.33665008291873966,54.77357946351312,5.287685672357565,1.6100374963945774,1.0,14.075569656763772,0.3682320632440134,0.33729216152019004,54.687049322180556,5.286967525981491,1.6097490625901356,1.0019025911708255,14.88318430920104,1.3030404276645506,1.1363636363636365,0.232249502322495
SRC110,cortex,0,tile_75,1774,75,1.3451579971536045,10.610819617751778,2.650678436721314,1.4716992669656217,0.31416636430954,0.2413060226285284,40.47350620067644,7.4889819048290285,1.890642615558061,2.368202437373053,16.910935738444195,0.2904900859611792,0.23696467848363306,39.85343855693348,7.412777011167037,1.7536640360766629,1.0,7.158962795941376,0.2905843491561345,0.2354248366013072,40.135287485907554,7.377985318637854,1.758173618940248,1.0091248428990365,8.004509582863585,4.559457794208257,4.138357010500309,0.8004926108374385
SRC110,cortex,1,tile_75,1857,75,0.33508346178396614,1.8979954537227355,0.6380694240620087,1.1557782186595094,0.45371886169545167,0.49869451697127937,67.4744211093161,2.913294145767423,1.4130317716747443,1.5401389532190843,7.754442649434572,0.4518890660783444,0.4981949458483754,67.31287022078621,2.9410569917162177,1.3909531502423262,1.0,6.30048465266559,0.45201854097720406,0.498220640569395,67.31287022078621,2.9335399850052397,1.3898761443187937,1.0,6.515885837372106,0.5373134328358209,0.6567164179104478,0.11918951132300357
SRC110,cortex,2,tile_75,1901,75,0.2948801002879784,0.9250229783143745,0.6351500646312449,1.0396184569044984,0.5138473271052828,0.5798611111111112,78.11678064176749,2.4305713033584633,1.465018411362441,1.1639344262295082,6.628090478695424,0.5142287679455589,0.5793357933579336,78.06417674907942,2.441966906988857,1.4518674381904262,1.0,5.576012624934245,0.5141685099270765,0.5793650793650794,78.06417674907942,2.4340875781156535,1.4523934771173066,1.0028818443804035,5.733824302998422,0.22471910112359553,0.2807411566535654,0.05611672278338946
