mouse,plane,stage,step,is_last,cells,tile,area_p99,area_max,bloated,torn,rim_area_p99,core_area_p99,iou_cell_dense,match_dense,offset_dense,partners_dense,iou_cell_rigid,match_rigid,offset_rigid,partners_rigid,flipped
CIM151,1,tile_100,5,True,389,100.0,1.1158974358974358,1.1275862068965516,0.0,7.197943444730077,1.123322884012539,1.0914699060127726,0.4742268041237113,66.83804627249359,3.3117268818507712,1.4832904884318765,0.46981627296587924,67.09511568123393,3.4359368920183293,1.4730077120822622,0.6097560975609756
CIM151,2,baseline,0,False,329,,1.0,1.0,0.0,4.86322188449848,1.0,1.0,0.11208151382823872,20.972644376899694,12.204144336558432,1.7386018237082066,0.11208151382823872,20.972644376899694,12.204144336558432,1.7386018237082066,0.0
CIM151,2,global,1,False,329,,1.0,1.0,0.0,4.86322188449848,1.0,1.0,0.32745098039215687,53.49544072948328,6.486948989169557,1.6443768996960486,0.32745098039215687,53.49544072948328,6.486948989169557,1.6443768996960486,0.0
CIM151,2,affine,2,False,329,,1.0355966386554623,1.0451127819548873,0.0,5.167173252279635,1.0430705254757004,1.0335670955882352,0.39574468085106385,64.43768996960486,5.024940833047353,1.6990881458966565,0.3974121996303142,64.13373860182371,5.125216329135392,1.696048632218845,0.35714285714285715
CIM151,2,tile_500,3,False,329,500.0,1.0355966386554623,1.0451127819548873,0.0,5.167173252279635,1.0430705254757004,1.0335670955882352,0.39574468085106385,64.43768996960486,5.024940833047353,1.6990881458966565,0.3974121996303142,64.13373860182371,5.125216329135392,1.696048632218845,0.35714285714285715
CIM151,2,tile_200,4,False,329,200.0,1.0881132578281145,1.13,0.0,6.079027355623101,1.0385920107531397,1.088978947368421,0.4217391304347826,67.78115501519757,4.404020280104778,1.6990881458966565,0.42123893805309737,67.78115501519757,4.463546896602523,1.6930091185410334,1.048951048951049
CIM151,2,tile_100,5,True,329,100.0,1.1143932753623187,1.135,0.0,6.990881458966565,1.0778844289315492,1.116150323024055,0.45365853658536587,70.2127659574468,3.968192019966729,1.6930091185410334,0.45220030349013657,70.2127659574468,3.9747189582575593,1.6899696048632218,0.3472222222222222
CIM151,3,baseline,0,False,274,,1.0,1.0,0.0,3.64963503649635,1.0,1.0,0.08140948802471129,20.072992700729927,12.830174004633069,1.2883211678832116,0.08140948802471129,20.072992700729927,12.830174004633069,1.2883211678832116,0.0
CIM151,3,global,1,False,274,,1.0,1.0,0.0,3.64963503649635,1.0,1.0,0.27765825213424333,43.79562043795621,7.164585623094592,1.5218978102189782,0.27765825213424333,43.79562043795621,7.164585623094592,1.5218978102189782,0.0
CIM151,3,affine,2,False,274,,1.0126394632458435,1.0236220472440944,0.0,3.64963503649635,1.0107678729037952,1.014168889828046,0.3228982563060775,54.379562043795616,6.25083924313549,1.4087591240875912,0.3228982563060775,54.74452554744526,6.235095893227635,1.416058394160584,0.0
CIM151,3,tile_500,3,False,274,500.0,1.0506238279784972,1.06006006006006,0.0,3.64963503649635,1.0440900118436638,1.0505138142267783,0.3727930402930403,58.02919708029197,5.958846675611308,1.4781021897810218,0.37739463601532564,58.02919708029197,5.946155479020268,1.4817518248175183,0.0
CIM151,3,tile_200,4,False,274,200.0,1.0948024803677454,1.1288135593220339,0.0,4.744525547445255,1.0640828282828283,1.1070266301543832,0.45868217054263566,67.51824817518248,4.027298457343124,1.5036496350364963,0.4624919639987143,67.88321167883211,4.1189852957302895,1.4963503649635037,0.8163265306122449
CIM151,3,tile_100,5,True,274,100.0,1.1334414642569353,1.1681681681681682,0.0,5.839416058394161,1.0991407614727597,1.1550847774660284,0.4775026983270373,69.7080291970803,3.6289496984403895,1.5693430656934306,0.48249463799722436,70.43795620437956,3.6474067801832355,1.5437956204379562,0.7874015748031495
